"show_1","show_2","distance"
"Sword Art Online II","Fairy Tail","0.651704751541531"
"Fairy Tail","Blue Exorcist","0.631397174254317"
"Blue Exorcist","Fairy Tail","0.631397174254317"
"Fairy Tail","Akame ga Kill!","0.645819429878921"
"Akame ga Kill!","Fairy Tail","0.645819429878921"
"Fairy Tail","Sword Art Online","0.644671975729996"
"Sword Art Online","Fairy Tail","0.644671975729996"
"Fairy Tail","Noragami: Stray God","0.652042360060514"
"Noragami: Stray God","Fairy Tail","0.652042360060514"
"Fairy Tail","No Game, No Life","0.650867507886435"
"No Game, No Life","Fairy Tail","0.650867507886435"
"Fairy Tail","Code Geass: Lelouch of the Rebellion R2","0.746773587269766"
"Code Geass: Lelouch of the Rebellion R2","Fairy Tail","0.746773587269766"
"Fairy Tail","Death Note","0.754785431285503"
"Death Note","Fairy Tail","0.754785431285503"
"Fairy Tail","Attack on Titan","0.658317196576925"
"Attack on Titan","Fairy Tail","0.658317196576925"
"Fairy Tail","Soul Eater","0.714626819687283"
"Soul Eater","Fairy Tail","0.714626819687283"
"Fairy Tail","Elfen Lied","0.778686181464753"
"Elfen Lied","Fairy Tail","0.778686181464753"
"Fairy Tail","One Punch Man","0.678226917776757"
"One Punch Man","Fairy Tail","0.678226917776757"
"Fairy Tail","The Future Diary","0.684501030320871"
"The Future Diary","Fairy Tail","0.684501030320871"
"Fairy Tail","Fullmetal Alchemist","0.778470647518267"
"Fullmetal Alchemist","Fairy Tail","0.778470647518267"
"Fairy Tail","Gurren Lagann","0.771430598921374"
"Gurren Lagann","Fairy Tail","0.771430598921374"
"Fairy Tail","Angel Beats!","0.708532548731151"
"Angel Beats!","Fairy Tail","0.708532548731151"
"Fairy Tail","Code Geass: Lelouch of the Rebellion","0.749155840439535"
"Code Geass: Lelouch of the Rebellion","Fairy Tail","0.749155840439535"
"Tokyo Ghoul","Fullmetal Alchemist: Brotherhood","0.600596658711217"
"Fullmetal Alchemist: Brotherhood","Tokyo Ghoul","0.600596658711217"
"Tokyo Ghoul","Steins;Gate","0.577050457821936"
"Steins;Gate","Tokyo Ghoul","0.577050457821936"
"Tokyo Ghoul","Naruto","0.655510068599248"
"Naruto","Tokyo Ghoul","0.655510068599248"
"Tokyo Ghoul","Sword Art Online II","0.525239169324104"
"Sword Art Online II","Tokyo Ghoul","0.525239169324104"
"Tokyo Ghoul","Blue Exorcist","0.544225047335678"
"Blue Exorcist","Tokyo Ghoul","0.544225047335678"
"Tokyo Ghoul","Akame ga Kill!","0.491549179652074"
"Akame ga Kill!","Tokyo Ghoul","0.491549179652074"
"Tokyo Ghoul","Sword Art Online","0.48827847501776"
"Sword Art Online","Tokyo Ghoul","0.48827847501776"
"Tokyo Ghoul","Noragami: Stray God","0.462772050400916"
"Noragami: Stray God","Tokyo Ghoul","0.462772050400916"
"Tokyo Ghoul","No Game, No Life","0.466951113682384"
"No Game, No Life","Tokyo Ghoul","0.466951113682384"
"Tokyo Ghoul","Code Geass: Lelouch of the Rebellion R2","0.658127749624102"
"Code Geass: Lelouch of the Rebellion R2","Tokyo Ghoul","0.658127749624102"
"Tokyo Ghoul","Death Note","0.616005503324925"
"Death Note","Tokyo Ghoul","0.616005503324925"
"Tokyo Ghoul","Attack on Titan","0.432284961069217"
"Attack on Titan","Tokyo Ghoul","0.432284961069217"
"Tokyo Ghoul","Soul Eater","0.69562488230494"
"Soul Eater","Tokyo Ghoul","0.69562488230494"
"Tokyo Ghoul","Elfen Lied","0.665233350812795"
"Elfen Lied","Tokyo Ghoul","0.665233350812795"
"Tokyo Ghoul","One Punch Man","0.472208312468703"
"One Punch Man","Tokyo Ghoul","0.472208312468703"
"Tokyo Ghoul","The Future Diary","0.510105805751492"
"The Future Diary","Tokyo Ghoul","0.510105805751492"
"Tokyo Ghoul","Fullmetal Alchemist","0.737908426483233"
"Fullmetal Alchemist","Tokyo Ghoul","0.737908426483233"
"Tokyo Ghoul","Gurren Lagann","0.715648625945038"
"Gurren Lagann","Tokyo Ghoul","0.715648625945038"
"Tokyo Ghoul","Angel Beats!","0.577671000565291"
"Angel Beats!","Tokyo Ghoul","0.577671000565291"
"Tokyo Ghoul","Code Geass: Lelouch of the Rebellion","0.65008844032879"
"Code Geass: Lelouch of the Rebellion","Tokyo Ghoul","0.65008844032879"
"Fullmetal Alchemist: Brotherhood","Steins;Gate","0.539992717562811"
"Steins;Gate","Fullmetal Alchemist: Brotherhood","0.539992717562811"
"Fullmetal Alchemist: Brotherhood","Naruto","0.587277000320479"
"Naruto","Fullmetal Alchemist: Brotherhood","0.587277000320479"
"Fullmetal Alchemist: Brotherhood","Sword Art Online II","0.660043169121381"
"Sword Art Online II","Fullmetal Alchemist: Brotherhood","0.660043169121381"
"Fullmetal Alchemist: Brotherhood","Blue Exorcist","0.575485889644383"
"Blue Exorcist","Fullmetal Alchemist: Brotherhood","0.575485889644383"
"Fullmetal Alchemist: Brotherhood","Akame ga Kill!","0.663222600052315"
"Akame ga Kill!","Fullmetal Alchemist: Brotherhood","0.663222600052315"
"Fullmetal Alchemist: Brotherhood","Sword Art Online","0.530523410128464"
"Sword Art Online","Fullmetal Alchemist: Brotherhood","0.530523410128464"
"Fullmetal Alchemist: Brotherhood","Noragami: Stray God","0.623153470548242"
